fid,BAUMNUMMER,FID_ANLAGE,BAUMART_K,BAUMART_L,BAUMART_D,EIGENTUEMER,PFLEGEZUSTAENDIGKEIT,PFLEGESTUFE,BAUMSTATUS,PFLANZJAHR,FALLDATUM,SCHUTZART,KATEGORIE,BAUMHOEHE,MINDESTBAUMHOEHE,KRONE,KRONENDURCHMESSER,MINDESTDURCHMESSER,BAUMTYP,LAGEGENAUIGKEIT,FORMSCHNITT,$GEOMETRY1,Z,BREITENGRAD,LAENGENGRAD,DATE_CREATED,DATE_MODIFED,$SQLLABEL1,X,Y
753643,29561,Verkehrsgrün kommunal. Talacker,acce,Acer campestre 'Elsrijk',Kegel-Feldahorn,Stadt Winterthur,Baumpflege MITTE-OST,2,Aktiv,2007,,,Laubbaum,8,10,grosskronig,7,8,Strassenbaum,VA,NEIN,2698945.60 / 1262969.20,494.5,47.51001829,8.7521159,"09.11.2016","03.04.2025",false,2698945.6,1262969.2
753646,29398,Verkehrsgrün kommunal. Tössfeld,tiep,Tilia europaea 'Pallida',Kaiser-Linde,Stadt Winterthur,Baumpflege SÜD,1,Aktiv,2010,,,Laubbaum,2.3,25,grosskronig,2,12,Strassenbaum,VA,NEIN,2696045.05 / 1260953.10,437.8,47.49231818,8.71318396,"09.11.2016","03.12.2025",false,2696045.05,1260953.1
753652,29595,KG Zinzikon,amla,Amelanchier lamarckii ,Kupfer-Felsenbirne,Stadt Winterthur,Baumpflege MITTE-OST,2,Aktiv,2008,,,Laubbaum,4,4,kleinkronig,3,3,Strassenbaum,VA,NEIN,2699116.25 / 1263919.20,475.85,47.51853557,8.75459219,"09.11.2016","03.04.2025",false,2699116.25,1263919.2
753655,29552,Verkehrsgrün kommunal. Talacker,acce,Acer campestre 'Elsrijk',Kegel-Feldahorn,Stadt Winterthur,Baumpflege MITTE-OST,2,Aktiv,2007,,,Laubbaum,7,10,grosskronig,4,8,Strassenbaum,VA,NEIN,2698979.45 / 1262884.95,485.9,47.50925556,8.75254646,"09.11.2016","03.04.2025",false,2698979.45,1262884.95
753658,36454,Frohbergpark,fasy,Fagus sylvatica ,Rotbuche,Stadt Winterthur,Baumpflege MITTE-OST,2,Aktiv,2009,,,Laubbaum,9,25,grosskronig,3,12,Strassenbaum,VA,NEIN,2696703.45 / 1261189.45,453.35,47.49434713,8.72197091,"09.11.2016","01.01.2026",false,2696703.45,1261189.45
753661,29481,Hardau Mini-Pitch Anlage,pyca,Pyrus calleryana 'Chanticleer',Chinesische Wild-Birne,Stadt Winterthur,Baumpflege WEST,2,Aktiv,2007,,,Laubbaum,9,10,grosskronig,5.5,8,Strassenbaum,VA,NEIN,2693645.65 / 1263037.35,409.45,47.51140744,8.68178626,"09.11.2016",31.07.2025,false,2693645.65,1263037.35
753664,29461,Verkehrsgrün kommunal. Brühlberg,cabf,Carpinus betulus 'Fastigiata',Säulen-Hainbuche. Weissbuche,Stadt Winterthur,Baumpflege WEST,2,Aktiv,2007,,,Laubbaum,6,15,grosskronig,2,5,Strassenbaum,VA,NEIN,2696057.40 / 1261622.85,456.1,47.49833927,8.71349213,"09.11.2016","03.04.2025",false,2696057.4,1261622.85
753668,27370,Verkehrsgrün überkommunal. Waldegg,tiep,Tilia europaea 'Pallida',Kaiser-Linde,Stadt Winterthur,Baumpflege OST-SÜD,1,Aktiv,2012,,,Laubbaum,6,25,grosskronig,2,12,Strassenbaum,VA,NEIN,2699424.95 / 1260244.95,456.5,47.4854477,8.75787041,"09.11.2016","03.12.2025",false,2699424.95,1260244.95
753671,27337,Schiessanlage Ohrbühl,quro,Quercus robur ,Stieleiche,Stadt Winterthur,Baumpflege OST-SÜD,1,Aktiv,2013,,,Laubbaum,,20,grosskronig,2,12,Strassenbaum,VA,NEIN,2699998.35 / 1261733.22,458.685,47.49874431,8.76581104,"09.11.2016","03.12.2025",false,2699998.35,1261733.22
753675,27274,CPS Maurerschule,bepe,Betula pendula ,Sand-. Weissbirke. Hängebirke,Stadt Winterthur,Baumpflege SÜD,2,Aktiv,2008,,,Laubbaum,12,15,grosskronig,3.5,8,Strassenbaum,VA,NEIN,2697844.05 / 1260911.75,447.85,47.49168113,8.73704403,"09.11.2016","03.12.2025",false,2697844.05,1260911.75
753678,27373,Verkehrsgrün überkommunal. Waldegg,tiep,Tilia europaea 'Pallida',Kaiser-Linde,Stadt Winterthur,Baumpflege OST-SÜD,1,Aktiv,2012,,,Laubbaum,6,25,grosskronig,2,12,Strassenbaum,VA,NEIN,2699488.60 / 1260196.95,457.5,47.48500643,8.75870409,"09.11.2016","03.12.2025",false,2699488.6,1260196.95
753681,27363,Ohrbühl Verkehrsgarten,cabe,Carpinus betulus ,Hainbuche. Weissbuche,Stadt Winterthur,Baumpflege OST-SÜD,1,Aktiv,2012,,,Laubbaum,6,15,grosskronig,2,8,Strassenbaum,VA,NEIN,2699996.10 / 1261389.55,460.2,47.49565413,8.7657041,"09.11.2016","03.12.2025",false,2699996.1,1261389.55
753685,27412,Verkehrsgrün kommunal. Deutweg,cabe,Carpinus betulus ,Hainbuche. Weissbuche,Stadt Winterthur,Baumpflege SÜD,1,Aktiv,2013,,,Laubbaum,8,15,grosskronig,5,8,Strassenbaum,VA,NEIN,2697749.83 / 1260796.10,448.847,47.49065511,8.73576854,"09.11.2016","03.12.2025",false,2697749.83,1260796.1
753689,27347,Ohrbühl Verkehrsgarten,cabe,Carpinus betulus ,Hainbuche. Weissbuche,Stadt Winterthur,Baumpflege OST-SÜD,1,Aktiv,2012,,,Laubbaum,6,15,grosskronig,2,8,Strassenbaum,VA,NEIN,2700041.60 / 1261424.95,460.15,47.49596555,8.76631577,"09.11.2016","03.12.2025",false,2700041.6,1261424.95
753700,27324,Schwimmbad Töss,alco,Alnus cordata ,Italienische Erle. Herzblättrige Erle,Stadt Winterthur,Baumpflege SÜD,2,Aktiv,2009,,,Laubbaum,12,15,grosskronig,5,8,Strassenbaum,VA,NEIN,2695490.80 / 1259887.50,438.4,47.48281617,8.70560195,"09.11.2016","01.01.2026",false,2695490.8,1259887.5
753706,27357,Ohrbühl Verkehrsgarten,quro,Quercus robur ,Stieleiche,Stadt Winterthur,Baumpflege OST-SÜD,1,Aktiv,2012,,,Laubbaum,6,20,grosskronig,2,12,Strassenbaum,VA,NEIN,2700094.50 / 1261433.95,461.75,47.49603843,8.76701971,"09.11.2016","03.12.2025",false,2700094.5,1261433.95
753710,29407,Anton-Graff-Strasse Aussichtspunkt,acpl,Acer platanoides ,Spitz-Ahorn,Stadt Winterthur,Baumpflege WEST,2,Aktiv,2006,,,Laubbaum,9,20,grosskronig,5.5,10,Strassenbaum,VA,NEIN,2696149.70 / 1261695.60,442.05,47.49898,8.7147326,"09.11.2016","03.04.2025",false,2696149.7,1261695.6
753713,29405,Anton-Graff-Strasse Aussichtspunkt,acpl,Acer platanoides ,Spitz-Ahorn,Stadt Winterthur,Baumpflege WEST,2,Aktiv,2006,,,Laubbaum,8,20,grosskronig,6,10,Strassenbaum,VA,NEIN,2696166.35 / 1261704.00,439.8,47.49905311,8.71495535,"09.11.2016","03.04.2025",false,2696166.35,1261704
753716,29462,Verkehrsgrün kommunal. Brühlberg,cabf,Carpinus betulus 'Fastigiata',Säulen-Hainbuche. Weissbuche,Stadt Winterthur,Baumpflege WEST,2,Aktiv,2007,,,Laubbaum,6,15,grosskronig,2,5,Strassenbaum,VA,NEIN,2696061.80 / 1261640.85,457.35,47.4985005,8.71355439,"09.11.2016","03.04.2025",false,2696061.8,1261640.85
753720,29387,Verkehrsgrün kommunal. Tössfeld,tiep,Tilia europaea 'Pallida',Kaiser-Linde,Stadt Winterthur,Baumpflege SÜD,1,Aktiv,2010,,,Laubbaum,2.3,25,grosskronig,2,12,Strassenbaum,VA,NEIN,2695883.65 / 1261111.20,436.1,47.49376348,8.7110765,"09.11.2016","03.12.2025",false,2695883.65,1261111.2
753723,29590,KG Zinzikon,tiep,Tilia europaea 'Pallida',Kaiser-Linde,Stadt Winterthur,Baumpflege MITTE-OST,2,Aktiv,2008,,,Laubbaum,11,25,grosskronig,8,12,Strassenbaum,VA,NEIN,2699122.45 / 1263891.00,475.7,47.51828104,8.75466821,"09.11.2016","03.04.2025",false,2699122.45,1263891
753726,29460,Verkehrsgrün kommunal. Brühlberg,cabf,Carpinus betulus 'Fastigiata',Säulen-Hainbuche. Weissbuche,Stadt Winterthur,Baumpflege WEST,2,Aktiv,2007,,,Laubbaum,6,15,grosskronig,2,5,Strassenbaum,VA,NEIN,2696037.80 / 1261593.40,453.7,47.4980773,8.7132257,"09.11.2016","03.04.2025",false,2696037.8,1261593.4
753730,29583,KG Wallrüti,cabg,Catalpa bignonioides ,Trompetenbaum,Stadt Winterthur,Baumpflege MITTE-OST,1,Aktiv,2013,,,Laubbaum,5,10,grosskronig,4,10,Strassenbaum,VA,NEIN,2699524.00 / 1263905.50,459.2,47.51835076,8.7600018,"09.11.2016","03.04.2025",false,2699524,1263905.5
753733,29594,KG Zinzikon,amla,Amelanchier lamarckii ,Kupfer-Felsenbirne,Stadt Winterthur,Baumpflege MITTE-OST,2,Aktiv,2008,,,Laubbaum,4,4,kleinkronig,3,3,Strassenbaum,VA,NEIN,2699117.45 / 1263913.45,475.6,47.51848368,8.75460684,"09.11.2016","03.04.2025",false,2699117.45,1263913.45
753736,29592,KG Zinzikon,amla,Amelanchier lamarckii ,Kupfer-Felsenbirne,Stadt Winterthur,Baumpflege MITTE-OST,2,Aktiv,2008,,,Laubbaum,4,4,kleinkronig,3,3,Strassenbaum,VA,NEIN,2699120.05 / 1263901.55,475.55,47.51837628,8.7546387,"09.11.2016","03.04.2025",false,2699120.05,1263901.55
753739,29555,Verkehrsgrün kommunal. Talacker,acce,Acer campestre 'Elsrijk',Kegel-Feldahorn,Stadt Winterthur,Baumpflege MITTE-OST,2,Aktiv,2007,,,Laubbaum,8,10,grosskronig,5,8,Strassenbaum,VA,NEIN,2698964.50 / 1262921.85,489.3,47.50958964,8.75235624,"09.11.2016","03.04.2025",false,2698964.5,1262921.85
753742,29480,Hardau Mini-Pitch Anlage,pyca,Pyrus calleryana 'Chanticleer',Chinesische Wild-Birne,Stadt Winterthur,Baumpflege WEST,2,Aktiv,2007,,,Laubbaum,6,10,grosskronig,3.5,8,Strassenbaum,VA,NEIN,2693650.15 / 1263041.35,409.2,47.51144277,8.68184683,"09.11.2016",31.07.2025,false,2693650.15,1263041.35
753745,29597,SH Hegifeld,algl,Alnus glutinosa ,Rot-Erle. Schwarz-Erle,Stadt Winterthur,Baumpflege OST-SÜD,2,Aktiv,2008,,,Laubbaum,9,15,grosskronig,2,8,Strassenbaum,VA,NEIN,2699803.75 / 1262785.60,458.15,47.50823753,8.76346445,"09.11.2016","03.12.2025",false,2699803.75,1262785.6
753748,27431,Verkehrsgrün überkommunal. Deutweg,tier,Tilia europaea ,Holländische Linde,Stadt Winterthur,Baumpflege OST-SÜD,1,Aktiv,2014,,,Laubbaum,7,25,grosskronig,2,12,Strassenbaum,VA,NEIN,2698481.05 / 1260939.40,448.35,47.4918347,8.74550174,"09.11.2016","03.12.2025",false,2698481.05,1260939.4
753751,27454,SH Mattenbach,bepe,Betula pendula ,Sand-. Weissbirke. Hängebirke,Stadt Winterthur,Baumpflege SÜD,2,Aktiv,1990,,,Laubbaum,11,15,grosskronig,8,8,Strassenbaum,VA,NEIN,2698221.40 / 1260660.55,449.1,47.48936591,8.74199531,"09.11.2016","03.12.2025",false,2698221.4,1260660.55
753755,27440,SH Schönengrund,cabe,Carpinus betulus ,Hainbuche. Weissbuche,Stadt Winterthur,Baumpflege SÜD,1,Aktiv,2014,,,Laubbaum,7,15,grosskronig,5,8,Parkbaum,VA,NEIN,2697899.00 / 1261151.15,446.45,47.49382581,8.73782566,"09.11.2016","03.12.2025",false,2697899,1261151.15
753761,27583,SH Wyden,ticg,Tilia cordata 'Greenspire',Winterlinde,Stadt Winterthur,Baumpflege WEST,1,Aktiv,2011,,,Laubbaum,5.5,25,grosskronig,3.5,12,Strassenbaum,VA,NEIN,2693684.80 / 1262633.65,414.65,47.50777148,8.68222102,"09.11.2016",31.07.2025,false,2693684.8,1262633.65
753764,27444,Schiessanlage Ohrbühl,quro,Quercus robur ,Stieleiche,Stadt Winterthur,Baumpflege OST-SÜD,1,Aktiv,2014,,,Laubbaum,,20,grosskronig,2,12,Strassenbaum,VA,NEIN,2699800.20 / 1261661.70,456.95,47.49813124,8.76316567,"09.11.2016","03.12.2025",false,2699800.2,1261661.7
753767,27485,Verkehrsgrün kommunal. Deutweg,fasy,Fagus sylvatica ,Rotbuche,Stadt Winterthur,Baumpflege SÜD,1,Aktiv,2015,,,Laubbaum,8,25,grosskronig,5,12,Strassenbaum,VA,NEIN,2697347.10 / 1261023.60,471.4,47.49276072,8.73047498,"09.11.2016","03.12.2025",false,2697347.1,1261023.6
753770,27365,Ohrbühl Verkehrsgarten,cabe,Carpinus betulus ,Hainbuche. Weissbuche,Stadt Winterthur,Baumpflege OST-SÜD,3,Aktiv,1975,,,Laubbaum,9,15,grosskronig,11,8,Strassenbaum,VA,NEIN,2699992.00 / 1261376.35,460.3,47.49553605,8.76564673,"09.11.2016","03.12.2025",false,2699992,1261376.35
753774,27407,TS Grüntal,tier,Tilia europaea ,Holländische Linde,Stadt Winterthur,Baumpflege OST-SÜD,3,Aktiv,1970,,,Laubbaum,14,25,grosskronig,12,12,Strassenbaum,VA,NEIN,2700511.05 / 1259707.75,481.95,47.48045176,8.77215776,"09.11.2016","03.12.2025",false,2700511.05,1259707.75
753777,27352,Ohrbühl Verkehrsgarten,cabe,Carpinus betulus ,Hainbuche. Weissbuche,Stadt Winterthur,Baumpflege OST-SÜD,1,Aktiv,2012,,,Laubbaum,6,15,grosskronig,2,8,Strassenbaum,VA,NEIN,2700060.95 / 1261436.25,460.7,47.49606422,8.76657506,"09.11.2016","03.12.2025",false,2700060.95,1261436.25
753780,27277,CPS Maurerschule,bepe,Betula pendula ,Sand-. Weissbirke. Hängebirke,Stadt Winterthur,Baumpflege SÜD,2,Aktiv,2008,,,Laubbaum,11,15,grosskronig,5,8,Strassenbaum,VA,NEIN,2697847.25 / 1260906.95,447.8,47.49163749,8.73708543,"09.11.2016","03.12.2025",false,2697847.25,1260906.95
753786,27271,CPS Maurerschule,bepe,Betula pendula ,Sand-. Weissbirke. Hängebirke,Stadt Winterthur,Baumpflege SÜD,2,Aktiv,2008,,,Laubbaum,10,15,grosskronig,4,8,Strassenbaum,VA,NEIN,2697840.20 / 1260915.90,447.9,47.49171903,8.73699386,"09.11.2016","03.12.2025",false,2697840.2,1260915.9
753793,27234,Verkehrsgrün überkommunal. Gutschick,tiep,Tilia europaea 'Pallida',Kaiser-Linde,Stadt Winterthur,Baumpflege OST-SÜD,1,Aktiv,2010,,,Laubbaum,6,25,grosskronig,2,12,Strassenbaum,VA,NEIN,2698559.40 / 1260882.95,448.35,47.49131533,8.7465288,"09.11.2016","03.12.2025",false,2698559.4,1260882.95
753797,27361,Ohrbühl Verkehrsgarten,cabe,Carpinus betulus ,Hainbuche. Weissbuche,Stadt Winterthur,Baumpflege OST-SÜD,1,Aktiv,2012,,,Laubbaum,6,15,grosskronig,2,8,Strassenbaum,VA,NEIN,2700036.60 / 1261394.55,460.45,47.49569293,8.7662426,"09.11.2016","03.12.2025",false,2700036.6,1261394.55
753801,27359,Ohrbühl Verkehrsgarten,quro,Quercus robur ,Stieleiche,Stadt Winterthur,Baumpflege OST-SÜD,1,Aktiv,2012,,,Laubbaum,6,20,grosskronig,2,12,Strassenbaum,VA,NEIN,2700098.00 / 1261422.80,461.95,47.49593763,8.76706365,"09.11.2016","03.12.2025",false,2700098,1261422.8
753805,27331,Schiessanlage Ohrbühl,quro,Quercus robur ,Stieleiche,Stadt Winterthur,Baumpflege OST-SÜD,1,Aktiv,2013,,,Laubbaum,,20,grosskronig,2,12,Strassenbaum,VA,NEIN,2699926.60 / 1261725.15,458.1,47.49868263,8.76485714,"09.11.2016","03.12.2025",false,2699926.6,1261725.15
753808,27413,Verkehrsgrün kommunal. Deutweg,cabe,Carpinus betulus ,Hainbuche. Weissbuche,Stadt Winterthur,Baumpflege SÜD,1,Aktiv,2013,,,Laubbaum,9,15,grosskronig,7,8,Strassenbaum,VA,NEIN,2697745.92 / 1260798.14,448.833,47.49067407,8.73571712,"09.11.2016","03.12.2025",false,2697745.92,1260798.14
753818,27387,Zelgli Anlage,acpb,Acer pseudoplatanus 'Bruchem',Berg-Ahorn Bruchem,Stadt Winterthur,Baumpflege SÜD,1,Aktiv,2013,,,Laubbaum,7.5,20,grosskronig,5,10,Parkbaum,VA,NEIN,2697848.77 / 1260676.73,,47.48956692,8.73705501,"09.11.2016","03.12.2025",false,2697848.77,1260676.73
753821,27349,Ohrbühl Verkehrsgarten,cabe,Carpinus betulus ,Hainbuche. Weissbuche,Stadt Winterthur,Baumpflege OST-SÜD,1,Aktiv,2012,,,Laubbaum,6,15,grosskronig,2,8,Strassenbaum,VA,NEIN,2700051.90 / 1261428.20,460.45,47.49599321,8.76645317,"09.11.2016","03.12.2025",false,2700051.9,1261428.2
753825,27241,QA Chiesgrueb,prav,Prunus avium ,Vogelkirsche,Stadt Winterthur,Baumpflege OST-SÜD,1,Aktiv,2010,,,Laubbaum,7,10,grosskronig,6.5,8,Strassenbaum,VA,NEIN,2701047.70 / 1258215.55,558,47.46695063,8.77893843,"09.11.2016","03.12.2025",false,2701047.7,1258215.55
753828,27411,Verkehrsgrün kommunal. Deutweg,cabe,Carpinus betulus ,Hainbuche. Weissbuche,Stadt Winterthur,Baumpflege SÜD,1,Aktiv,2013,,,Laubbaum,9,15,grosskronig,7,8,Strassenbaum,VA,NEIN,2697749.05 / 1260793.06,448.848,47.49062793,8.73575754,"09.11.2016","03.12.2025",false,2697749.05,1260793.06
753832,27343,Schiessanlage Ohrbühl,quro,Quercus robur ,Stieleiche,Stadt Winterthur,Baumpflege OST-SÜD,1,Aktiv,2013,,,Laubbaum,,20,grosskronig,2,12,Parkbaum,VA,NEIN,2700068.87 / 1261739.85,459.145,47.49879322,8.76674835,"09.11.2016","03.12.2025",false,2700068.87,1261739.85
753836,27410,Verkehrsgrün kommunal. Deutweg,tiep,Tilia europaea 'Pallida',Kaiser-Linde,Stadt Winterthur,Baumpflege SÜD,1,Aktiv,2013,,,Laubbaum,9,25,grosskronig,5.5,12,Strassenbaum,VA,NEIN,2697764.40 / 1260778.22,448.883,47.49049215,8.7359579,"09.11.2016","03.12.2025",false,2697764.4,1260778.22
753840,27269,CPS Maurerschule,bepe,Betula pendula ,Sand-. Weissbirke. Hängebirke,Stadt Winterthur,Baumpflege SÜD,2,Aktiv,2008,,,Laubbaum,10,15,grosskronig,6,8,Strassenbaum,VA,NEIN,2697838.10 / 1260918.40,448,47.49174182,8.73696654,"09.11.2016","03.12.2025",false,2697838.1,1260918.4
753843,27346,Ohrbühl Verkehrsgarten,quro,Quercus robur ,Stieleiche,Stadt Winterthur,Baumpflege OST-SÜD,1,Aktiv,2012,,,Laubbaum,6,20,grosskronig,2,12,Strassenbaum,VA,NEIN,2700045.75 / 1261442.25,460.35,47.49612049,8.76637472,"09.11.2016","03.12.2025",false,2700045.75,1261442.25
753846,27360,Ohrbühl Verkehrsgarten,quro,Quercus robur ,Stieleiche,Stadt Winterthur,Baumpflege OST-SÜD,1,Aktiv,2012,,,Laubbaum,6,20,grosskronig,2,12,Strassenbaum,VA,NEIN,2700046.20 / 1261397.20,460.6,47.4957153,8.76637058,"09.11.2016","03.12.2025",false,2700046.2,1261397.2
753850,27305,Schwimmbad Töss,frex,Fraxinus excelsior ,Gemeine Esche,Stadt Winterthur,Baumpflege SÜD,2,Aktiv,1985,,,Laubbaum,15,20,grosskronig,8,8,Strassenbaum,VA,NEIN,2695576.45 / 1259852.50,439.4,47.48248898,8.70673066,"09.11.2016","03.12.2025",false,2695576.45,1259852.5
753859,27315,Schwimmbad Töss,cabe,Carpinus betulus ,Hainbuche. Weissbuche,Stadt Winterthur,Baumpflege SÜD,1,Aktiv,2010,,,Laubbaum,8,15,grosskronig,4,8,Parkbaum,VA,NEIN,2695497.20 / 1259793.50,440.65,47.48196991,8.70566672,"09.11.2016","03.12.2025",false,2695497.2,1259793.5
753865,27417,Verkehrsgrün kommunal. Deutweg,quro,Quercus robur ,Stieleiche,Stadt Winterthur,Baumpflege SÜD,1,Aktiv,2013,,,Laubbaum,9,20,grosskronig,6,12,Strassenbaum,VA,NEIN,2697715.31 / 1260833.76,448.885,47.49099893,8.73531883,"09.11.2016","03.12.2025",false,2697715.31,1260833.76
753869,27333,Schiessanlage Ohrbühl,quro,Quercus robur ,Stieleiche,Stadt Winterthur,Baumpflege OST-SÜD,1,Aktiv,2013,,,Laubbaum,,20,grosskronig,2,12,Strassenbaum,VA,NEIN,2699942.80 / 1261727.05,458.3,47.49869725,8.76507254,"09.11.2016","03.12.2025",false,2699942.8,1261727.05
753872,27418,Verkehrsgrün kommunal. Deutweg,quro,Quercus robur ,Stieleiche,Stadt Winterthur,Baumpflege SÜD,1,Aktiv,2013,,,Laubbaum,8.5,20,grosskronig,7.5,12,Strassenbaum,VA,NEIN,2697715.06 / 1260837.81,448.87,47.49103536,8.73531644,"09.11.2016","03.12.2025",false,2697715.06,1260837.81
753876,27328,Schiessanlage Ohrbühl,quro,Quercus robur ,Stieleiche,Stadt Winterthur,Baumpflege OST-SÜD,1,Aktiv,2013,,,Laubbaum,,20,grosskronig,2,12,Strassenbaum,VA,NEIN,2699880.25 / 1261718.00,457.7,47.49862537,8.7642405,"09.11.2016","03.12.2025",false,2699880.25,1261718
753879,27238,Mattenbach (Deutweg),acca,Acer campestre ,Feldahorn,Stadt Winterthur,Baumpflege SÜD,1,Aktiv,2010,,,Laubbaum,8,10,grosskronig,4,8,Strassenbaum,VA,NEIN,2698176.85 / 1260653.20,448.15,47.48930647,8.74140264,"09.11.2016","03.12.2025",false,2698176.85,1260653.2
753882,27296,Verkehrsgrün kommunal. Heiligberg,cabf,Carpinus betulus 'Fastigiata',Säulen-Hainbuche. Weissbuche,Stadt Winterthur,Baumpflege SÜD,1,Aktiv,2011,,,Laubbaum,6.5,15,grosskronig,2.5,5,Strassenbaum,VA,NEIN,2696632.35 / 1260713.55,474.6,47.49007793,8.72092437,"09.11.2016","03.12.2025",false,2696632.35,1260713.55
753891,27580,SH Wyden,ticg,Tilia cordata 'Greenspire',Winterlinde,Stadt Winterthur,Baumpflege WEST,1,Aktiv,2011,,,Laubbaum,9,25,grosskronig,4.5,12,Strassenbaum,VA,NEIN,2693707.05 / 1262609.90,414.2,47.50755473,8.68251133,"09.11.2016",31.07.2025,false,2693707.05,1262609.9
753897,27581,SH Wyden,ticg,Tilia cordata 'Greenspire',Winterlinde,Stadt Winterthur,Baumpflege WEST,1,Aktiv,2011,,,Laubbaum,8,25,grosskronig,4,12,Strassenbaum,VA,NEIN,2693697.15 / 1262620.20,414.4,47.50764877,8.6823821,"09.11.2016",31.07.2025,false,2693697.15,1262620.2
753907,27319,Schwimmbad Töss,alco,Alnus cordata ,Italienische Erle. Herzblättrige Erle,Stadt Winterthur,Baumpflege SÜD,2,Aktiv,2009,,,Laubbaum,11,15,grosskronig,5,8,Strassenbaum,VA,NEIN,2695484.15 / 1259851.75,439.05,47.48249564,8.70550608,"09.11.2016","01.01.2026",false,2695484.15,1259851.75
753910,27273,CPS Maurerschule,bepe,Betula pendula ,Sand-. Weissbirke. Hängebirke,Stadt Winterthur,Baumpflege SÜD,2,Aktiv,2008,,,Laubbaum,11,15,grosskronig,3.5,8,Strassenbaum,VA,NEIN,2697843.10 / 1260912.10,447.85,47.49168442,8.7370315,"09.11.2016","03.12.2025",false,2697843.1,1260912.1
753913,27242,QA Chiesgrueb,prav,Prunus avium ,Vogelkirsche,Stadt Winterthur,Baumpflege OST-SÜD,1,Aktiv,2010,,,Laubbaum,7,10,grosskronig,5.5,8,Strassenbaum,VA,NEIN,2701032.30 / 1258196.20,558.65,47.46677899,8.77872983,"09.11.2016","03.12.2025",false,2701032.3,1258196.2
753916,27415,Verkehrsgrün kommunal. Deutweg,acpl,Acer platanoides ,Spitz-Ahorn,Stadt Winterthur,Baumpflege SÜD,1,Aktiv,2013,,,Laubbaum,9,20,grosskronig,2.5,10,Strassenbaum,VA,NEIN,2697729.29 / 1260816.91,448.749,47.49084533,8.73550066,"09.11.2016","03.12.2025",false,2697729.29,1260816.91
753920,27368,Verkehrsgrün überkommunal. Waldegg,tiep,Tilia europaea 'Pallida',Kaiser-Linde,Stadt Winterthur,Baumpflege OST-SÜD,1,Aktiv,2012,,,Laubbaum,6,25,grosskronig,2,12,Strassenbaum,VA,NEIN,2699380.80 / 1260276.55,455.75,47.48573855,8.75729174,"09.11.2016","03.12.2025",false,2699380.8,1260276.55
753923,27264,CPS Maurerschule,bepe,Betula pendula ,Sand-. Weissbirke. Hängebirke,Stadt Winterthur,Baumpflege SÜD,2,Aktiv,2008,,,Laubbaum,10,15,grosskronig,5,8,Strassenbaum,VA,NEIN,2697827.95 / 1260923.85,448.55,47.49179234,8.73683307,"09.11.2016","03.12.2025",false,2697827.95,1260923.85
753926,27369,Verkehrsgrün überkommunal. Waldegg,tiep,Tilia europaea 'Pallida',Kaiser-Linde,Stadt Winterthur,Baumpflege OST-SÜD,1,Aktiv,2012,,,Laubbaum,6,25,grosskronig,2,12,Strassenbaum,VA,NEIN,2699390.15 / 1260269.90,455.8,47.48567733,8.7574143,"09.11.2016","03.12.2025",false,2699390.15,1260269.9
753929,27322,Schwimmbad Töss,alco,Alnus cordata ,Italienische Erle. Herzblättrige Erle,Stadt Winterthur,Baumpflege SÜD,2,Aktiv,2009,,,Laubbaum,10,15,grosskronig,5,8,Strassenbaum,VA,NEIN,2695490.55 / 1259872.35,439,47.48267996,8.70559539,"09.11.2016","01.01.2026",false,2695490.55,1259872.35
753932,27358,Ohrbühl Verkehrsgarten,acpl,Acer platanoides ,Spitz-Ahorn,Stadt Winterthur,Baumpflege OST-SÜD,3,Aktiv,1975,,,Laubbaum,13,20,grosskronig,12,10,Strassenbaum,VA,NEIN,2700109.75 / 1261436.50,462.3,47.49605904,8.76722263,"09.11.2016","03.12.2025",false,2700109.75,1261436.5
753939,27248,CPS Maurerschule,bepe,Betula pendula ,Sand-. Weissbirke. Hängebirke,Stadt Winterthur,Baumpflege SÜD,2,Aktiv,2008,,,Laubbaum,15,15,grosskronig,5,8,Strassenbaum,VA,NEIN,2697799.15 / 1260960.15,447.15,47.49212306,8.73645892,"09.11.2016","03.12.2025",false,2697799.15,1260960.15
753945,27416,Verkehrsgrün kommunal. Deutweg,acpl,Acer platanoides ,Spitz-Ahorn,Stadt Winterthur,Baumpflege SÜD,1,Aktiv,2013,,,Laubbaum,9,20,grosskronig,7,10,Strassenbaum,VA,NEIN,2697738.71 / 1260824.06,448.863,47.49090823,8.73562721,"09.11.2016","03.12.2025",false,2697738.71,1260824.06
753949,27372,Verkehrsgrün überkommunal. Waldegg,tiep,Tilia europaea 'Pallida',Kaiser-Linde,Stadt Winterthur,Baumpflege OST-SÜD,1,Aktiv,2012,,,Laubbaum,6,25,grosskronig,2,12,Strassenbaum,VA,NEIN,2699481.35 / 1260203.00,457.3,47.48506193,8.75860926,"09.11.2016","03.12.2025",false,2699481.35,1260203
753952,27307,Schwimmbad Töss,acca,Acer campestre ,Feldahorn,Stadt Winterthur,Baumpflege SÜD,3,Aktiv,1960,,,Laubbaum,13,10,grosskronig,12,8,Parkbaum,VA,NEIN,2695602.50 / 1259796.35,440.8,47.48198025,8.70706419,"09.11.2016","03.12.2025",false,2695602.5,1259796.35
